Category,Item,Spec,Cut length (mm),Quantity
Profile,2020,2020,800,12
Profile,2020,2020,630,2
Profile,2020,2020,580,1
Profile,2040,2040,800,1
Profile,2040,2040,640,2
Profile,2040,2040,630,14
Profile,2040,2040,590,2
Profile,2040,2040,580,11
Profile,2040,2040,560,2
Profile,2040,2040,530,4
Connector,"35 杯铰",,,4
Connector,"内角码",20 系列,,91
Connector,"抽屉滑轨 590mm",侧装一对,,2
Fastener,"螺栓 M5×10",20,,182
Fastener,"T型螺母 M5",20,,182
Board,"505 × 304 mm","多层板 15mm",,4
Board,"540 × 505 mm","多层板 15mm",,2
Board,"570 × 304 mm","多层板 15mm",,4
Board,"590 × 360 mm","多层板 18mm",,2
Board,"630 × 560 mm","密度板 18mm",,1
Board,"812 × 552 mm","密度板 18mm",,1
Board,"852 × 592 mm","密度板 18mm",,1
Suggested,"L型角码（按对接端推算）",,,7
Summary,Overall WxDxH,2420x1870x880,,
Summary,Total cut length (mm),,33140,
Summary,Board area (m2),,3.58,
